,name,url,location,address,lat,lon
21,Hotel De Quebec,https://www.booking.com/hotel/fr/alive-hotel-de-quebec.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Rouen,"18-24 Rue De Quebec, 76000 Rouen, France",49.43783419,1.09725282
22,All Suites Besançon,https://www.booking.com/hotel/fr/all-suites-besancon.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Besancon,"17 Avenue des Montboucons, 25000 Besançon, France",47.25435723,5.99548012
23,Sure Hotel by Best Western Biarritz Aeroport,https://www.booking.com/hotel/fr/amaryshotel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Biarritz,"Rn 10 - Aéroport De Parme, 64200 Biarritz, France",43.47220790,-1.53489947
24,Hotel Elysees Opera,https://www.booking.com/hotel/fr/america.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Paris,"17, rue de Turin, 8e arr., 75008 Paris, France",48.88141526,2.32455321
25,SavoieLac - Annecy Mavéria,https://www.booking.com/hotel/fr/annecy-maveria.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Annecy,"20 Avenue de la Maveria, 74940 Annecy, France",45.90643400,6.14458850
26,Gîte l'Authentique avec spa privatif,https://www.booking.com/hotel/fr/annexe-au-gite-des-trois.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Chateau du Haut Koenigsbourg,"2 place de la mairie, 67600 Orschwiller, France",48.24176400,7.37930300
27,Villa ANTINEA,https://www.booking.com/hotel/fr/antinea-cassis12.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Cassis,"2 Avenue Auguste Favier, 13260 Cassis, France",43.22024010,5.54246930
28,Appartement Bord de Mer La Faviere,https://www.booking.com/hotel/fr/apartement-la-faviere-bormes-les-mimosas.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Bormes les Mimosas,"112 boulevard de la plage, 83230 Bormes-les-Mimosas, France",43.12602594,6.35675467
29,Aparthotel Adagio Access Dijon République,https://www.booking.com/hotel/fr/aparthotel-adagio-access-dijon-republique.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Dijon,"33 rue de Mulhouse, 21000 Dijon, France",47.32552600,5.04948040
30,L'aparthoteL LhL,https://www.booking.com/hotel/fr/aparthotel-lhl.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaBWIAQGYAQ24ARjIAQ_YAQHoAQH4AQKIAgGoAgS4Ap2NkJMGwAIB0gIkOTcxMjMxMjQtOWU1ZS00ZWY2LTk5NjAtMzUzNzg3N2QzMTBl2AIF4AIB&sid=3439b60092e6917d40d363dcb25052e7&aid=304142,Dijon,"4 rue Audra, 21000 Dijon, France",47.32566596,5.03518894
